FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
FALSE,,,ELECTRICAL PERMIT,finish the analysis for Permits,,"251008 - they need ETAP sofware- found software that will do the same job. https://www.pandapower.org/ - action to install and ask questions.  Scheduling meeting with EDD
251015 -  follow up EDD, IT will help to the software and help for the calculation. 
251022 - follow up EDD - https://erp1.cornersteelsystems.com/app/task/ITR-25-0018 panda power installed
251029 - for installation of software, for training - and request meralco for data. What do we request - fault current request. 
251105 - follow up installation
251112 - following up - and Supplier will visit
251120 - Supplier - arc flash analysis - for quotation - follow quotation Timeline. 
251126 - michelle - for quotation, supplier found. 
251204 - Rico Penones - Analsysis will be done - For Quote of Turnkey Solutioin
251210 - For Quotation
260107 - Follow up Quotation 
260206 - application form for completion
260220 - For follow up
260225 - For confirmation of submitted quotation
260306 - ETAP declined to submit proposal; requested proposal from DCCON
260311 - For follow up with DCCON
260318 - Waiting for Quotation from DCCON
260325 - waiting for final quotation
260401 - waiting for updated quotation
260408 - contact sir Carl regarding the signing of electrical plans and application to DOLE; options, someone else does the design
260415 - contractor will visit on 04-17-26; for consolidation of documents
260422 - for outsourcing of another contractor",2026-04-29,,,@ryan  @michael    following up installation - if you need python install training please coordinate with rein and jao https://www.pandapower.org/ https://erp1.cornersteelsystems.com/app/task/ITR-25-0018 @Jao @rein ,,
TRUE,,,SCAFFOLDING ERECTOR,required for AUDIT,,"250919 - process certification
250926 - Lorenze for probee - by Oct 4, already trained certification needed
251008 - signed up in DOLE/TESDA for NC2 certification
251015 - NC2 scaffolding training/seminar moved October 25
Lorenze training done",2025-10-29,,,,,
FALSE,,,ESG PROGRAM,- ESG Expansion,,"250905 - Folding into this all our ESG activities - GHG, Green Labeling, Waste Disposal, as well as other Projects. 
250919 - Signing/Approval , ask for Sir Rickys Timeline/Proposal , ISO 14064 (GHG ), EPR 11084, GHG accounting services
250926 - BV for submission - pending is the consultant and accounting. 
251007 - Cooridnate with ROWI (green projects viber group) - GHG-accounting. Ricky -proposal and BV - revised proposal. to 145 to 90k two topics. EPRA - lnk our key Goals. 
251015 - October 23-24 scheduled training with Bureau Veritas. Coordinate with Sir Ricky
251029 - We are now in process creation.  Draft the scope - All activities and Materials. Deliveries/Shipping, Manpower (SYNX), Materials - how we plan to record each without adding additional work to the affected parties. 
251105 - Iggy and Rowi for Audit training. Process Writing. Outline target- use as a Checklist of Processes needed > Needs/Requirements Mgt. Contract of Sir Ricky DeCastro finalization. 
251112 - ricky decastro - follow up maam lou. 
251120 - Sir JV Mateo can be the consultant. better BV audit requirements. 
251126 - contracts for comparison - for proposal. 
251204 - Scope of Consoluting - Proposal for Consulting from both JV Mateo and Ricky DeCastro - the objective measures and criterias of various - starting with Philippine Local recognition of our ESG program and metrics. https://www.grantthornton.com.ph/technical-alerts/sustainability-alert/2025/summary-of-sec-memorandum-circulars-on-sustainability/#:~:text=4%2D2019,Here%20are%20the%20key%20points%3A  
251210 - ESG - consultant contracts. 
260107 - ESG - additional contracts. > For AI analysis so that you can make RFP  
260206 - ongoing data gathering form Cabuyao, Mandaluyong, and Makati; for schedule of consultancy
260220 - For schedule of meeting with regards to the coverage of ESG
260225 - For follow up of schedule to Bureau Veritas
260306 - meeting with consultant on 03-09-26; La Salle wants to partner with CSC 
260318 - Rowi will be the ESG officer; additional consultants coming from UPLB; meeting on 03-24-26 with Bureau Veritas
260325 - Meeting moved after Holy Week (April 10,2026)
260408 - Meeting moved on Friday 041026
260415 - for proposal
260422 - waiting for quotation",2026-04-29,,,"Link here. 
BV - training. 
Ricky - Consultant. 
BV - certification and audit. 
EPRA, 
GHG Accounting, 
folder of ESG projects",,
TRUE,,,RACK CERTIFICATION,-Our racks need to be certified for safety,,"250905 - waiting for PAYMENT
250919 - Paid, for testing
250926 - Done - for release the certificate. Needs to be bolted to the floor. 
251008 - bolting DONE. TO DO: Tagging and Collision barrier. for Leveling
251015 - Reschechuled on sunday (251019)
251022 - submitted to rodel",2025-10-22,,,,,
FALSE,,,Waste Water Treatment,Partnership with La Salle; construction of waste water treatment,,"260306 - Partnership with La Salle with the construction of water tank; application of permits with DENR, accreditation - waiting for contract & MOA
260318 - Waiting for MOA with DENR
260325 - Waiting for Dr. Andres Myol
260408 - for follow up
260415 - for follow up
260422 - for follow up of Dr. Andres Myol",2026-04-29,,,,,
FALSE,,,EXTENDED PRODUCERS LAW,"Impact Analysis and ESG Qualification
https://lawphil.net/statutes/repacts/ra2022/ra_11898_2022.html ",,"250813 - ESG may require what we do with our waste. Example LIso Rubber, Old Tires - for deVulcanization 
250826 - research implementation - help me find honeycomb paper wrap rolls Vendors f... 
250905 - assigned to SPLD for double wall cardboard. diecut corrogated, honey combed, do price comparison.
250919 - sourcing outcome for different packaging - do we have suppliers? Confirmation? finding EPR 3rd Independent Compliance Auditor 
250926 - EPR compliance auditor - BV or Ricky? Other packaging material 
251008 - included in scope of ESG
251015 - Ask Batangas Paper Corpotation for the Honeycomb Paper Wrap Rolls. Check ERP Next for the bubble wrap packing and silicon plastic packing material (quantities) 
251022 - EPR law - honeycomb paper packing cushion - 
251029 - Honey Comb Paper Packing - follow up Terry. Check DTI for resources. 
251105 -For ordering  
251112 - Follow up SPLD - ask for the PR/PO and timeline
251120 - Honey Comb paper - PR https://share.google/images/NHnFz8L8PwskUByaF 
251126 - Honey Comb - order -  lets make a PR - for it. 
251204 - Honey Comb PR? for PO and https://erp1.cornersteelsystems.com/app/material-request/PR-CSC-25-008764-1 
251210 - PO'ed 5 days ago. waiting for recieving. 
260107- honey comb paper - ""too thin"" - testing proper technique, different grades of thickness. 
260206 - with comparison report for both honeycomb and rubber cornerguard
260220 - for schedule of meeting
260225 - For follow up of schedule to Beaureu Veritas
260306 - Meeting on monday 03-09-26
260318 - Packaging has findings from QA
260325 - Consult with Baranggay for the material recovery
260408 - Formulate an EPR program (ISO 140001); target date 04-17-26
260422 - consolidate requirements; create checklist to determine processes; list items and products for upcycling",2026-04-29,,," Paper cutting machine, environmentally friendly packaging, cardboard mesh strip express packaging
Republic Act No. 11898  

https://share.google/images/NHnFz8L8PwskUByaF ",,
FALSE,,,PULL OUT ITEMS. ,"5.6)  Storage of Pull out. Talk to denzel CHristian and Juns team how to store detailed Pull-out item informatioin
            5.6.1)  Probably have an item called Pull out which is repacked. 
            5.6.2)  This has a lot of pictures 
            5.6.3)  Makati viewing these Pull out item
            5.6.4)  Warehouse for Long term Storage -
            5.6.5)  OBJECTIVES: Pull out of production area  ",,"250806 - Technical Discussion with IT team for the features. 
250813 - Warehouse process changes for Pull Out items - 
250826 - Pull out item proceedure and Inventory -  talk to IT
250905 - schedule with IT for Process Review of Pull out. Ensure it is a DIGITIAL process using TABLET. ideally done all in the tablet. 
260206 - run paperless Material Request trial for 1 week (260209-260214)
260306 - continue Material Request through ERP
260318 - continue Material Request through ERP
260325 - deferred to May",2026-05-06,,,,,
FALSE,,,"UP DILIMAN CAPSTONE. 
ELECTRICAL PLANS by OJT",List of all the OJT PRojects - ME and CIVIL (Railway),,"250730 - ME that can report in Plant.  - ducting and mechanical plans. to develop the tutorials - partiulcarly the sheet metal workbench. 
- Building Plans - FEA/FEM analysis of our Own numbers. Material Capacity -  Coordinate with Jonathan. coordination with his deliverables. (most portable ramp we can use for our Trucks loading and unloading) - Group for Projects. 
250806 - for Plant Visit - coordinate with Jonathan Peol
250813 - Walls Beams and Pillars - As built -, Power Piping (Compressed Air - Mechanical Plan), Plumbing and Sewerages
250826 - Objectives - Measurementss, Power piping is done, Ventilation Done, Machine Placement - floor plan for 3D for 
250905 - power piping, PME partner, ISO metric drawings, ECE plans and Mechanical Plans (ongoing). Structural Engineer - from EDD
250919 - anything to finish - power piping, talk to Nicco for the CFD, Allowance with maam lou, get CID, FEB
250926 - last discussion - same Eng OJTs on Jan. October batch . OJT Policy of Problem Area Analysis ? 
251008 - Electrical Capstone, UP DILIMAN capstone - shipping, MH placement, PID MH (talk to DJ and Training material of Techniques), ME requirements - NCO - (RFP). many components. (FreeCAD team)
251015 - UP Diliman, waiting for their OJTs (start October 27)
251022 - UP meeting later for timeline
251029 - Customized Dept - Optimization of Material Handling - Deliverables? Evaluation of Deliverables if Usable. 
251105 - for schedule with Jhonalyn 
251112 - Follow up Jenny and Sir Rey for the outcome of the Infra 
251120 -Schedule VISIT - with UPD - DEC 1 is ok. https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NnRlcDZhNmkzcjhvMGt2OWFrNHI4YjZlMmEganVzdGluYXF1aW5vQGNvcm5lcnN0ZWVsLmNvbQ&tmsrc=justinaquino%40cornersteel.com 
251204 - afternoon meeting on Friday 
251210 - Change from PAR RATIO, to Excess Materials. 3 months or 6 months of production - for Capacity. 
260107 - Follow up for Timeline
260206 - Requesting take-off sheet by OJTs; action to be taken by Christine & TPDD
260220 - ongoing process; for checking c/o J. Rosales & J. Aguilar
260306 - contact stakeholders for status
260318 - Ongoing Process form UP Diliman - Adrian Dolera
260325 - for Follow up
260408 - for follow up
260415 - for follow up
260422 - May - presentation of findings, Justin will draft a memo (target before next week), challenge/s: who will do the corrective action",2026-04-29,,,,,
FALSE,,,3D Model of CSC,Inventory of all Structures and Building of CSC - for marketing and internal use. ,,"250716- Ongoing - Nicco - inventory and pictures of the sturation. 
250723 - Details of the Plant. for feedback. 
250730 - plant layout. Schedule visit . Coordinate with Jonathan. coordination with his deliverables. (most portable ramp we can use for our Trucks loading and unloading) - Group for Projects. 
250806 - follow up Nicco
250813 - update Nicco on plant model. 
250905 - update Nicco's progress https://1drv.ms/u/c/3d6f5c422feb189b/EUfSjc6YLhJIhdBj0EyGAH0BHMrdw_aLdmScOLhGvYIIAQ?e=cMX24a 
CFD started
250919 -Nicco will return to this project Week of Sep 22
250926 - Nicco 3d model of the PLant. Schedule for Upgrade of the PCs. Use Append by Collection. 
251008 - Oct 15 review. 
251015 - Update October 16 for the review
251022 - Ongoing Plant - Milestone for External
251029 - Follow up Genset Room. 
251105 - exterior done, Interor for SCHEDULe afte CFD ducting
251126 - for schedule CFD 
251204 - Air velocity calculations for Schedule Nicco. 
251210 - Friday Air Flow Rate 
260107 - Comfac Technical Difficulties - Nicco is training comfac. 
260206 - on hold; resume April after CFD Training
260325 - Deferred to June",2026-06-03,,,,,
TRUE,,,ACCENTURE MOBILE STATION,Mobile station that can be used by Accenture. ,,"250716 - waiting for FreeCAD specialist. 
250723 - waiting for OJT
250728 -find the achitecture applicant email
250806 - Accenture Mobile Station - can we assign this to Macky? 
250813 - Can Jason Assign someone? ",2025-08-13,,,,,
